For Period: from 05/21/2017 to 07/01/2018
Service	Date	Library Name	Library Nickname	Account #	Billing Account #	Barcode	Email	Branch	License Type	Notes	Tokens Issued	Views
qello	12/27/2017	8080 Test Library	test51				v.2712.112818@gmail.com		30-day		1	0
qello	12/27/2017	8080 Test Library	test51				v.2712.112939@gmail.com		30-day		1	0
qello	12/27/2017	8080 Test Library	test51				v.2712.114925@gmail.com		30-day		1	0
qello	12/27/2017	8080 Test Library	test51				v.2712.115043@gmail.com		30-day		1	0
qello	12/27/2017	8080 Test Library	test51				vahafonov2038.envion2017@mail.ru		30-day		1	0
qello	01/04/2018	8080 Test Library	test51				testbb201712011315@email.com		30-day		1	0
qello	01/15/2018	8080 Test Library	test51				ymelnik@envionsoftware.com		30-day		1	0
qello	01/16/2018	8080 Test Library	test51				jan8@email.com		30-day		1	0
qello	02/05/2018	8080 Test Library	test51				newusertest1@email.com		30-day		1	0
qello	02/08/2018	8080 Test Library	test51				acorntv1@email.com		30-day		1	0
qello	02/08/2018	8080 Test Library	test51				svod_test1@email.com		30-day		1	0
qello	02/08/2018	8080 Test Library	test51				svod_test3@email.com		30-day		1	0
qello	02/08/2018	8080 Test Library	test51				takecert1@email.com		30-day		1	0
qello	02/08/2018	8080 Test Library	test51				test.08patron@gmail.com		30-day		1	0
qello	02/09/2018	8080 Test Library	test51				m@pyland.com		30-day		1	0
qello	02/12/2018	8080 Test Library	test51				bsmoot@recordedbooks.com		30-day		1	0
qello	02/15/2018	8080 Test Library	test51				svod_test2@email.com		30-day		1	0
qello	03/01/2018	8080 Test Library	test51				test.11patron@gmail.com		30-day		1	0
qello	03/01/2018	8080 Test Library	test51				test.12patron@gmail.com		30-day		1	0
qello	03/01/2018	8080 Test Library	test51				test.13patron@gmail.com		7-day		1	0
qello	03/01/2018	8080 Test Library	test51				test.17patron@gmail.com		7-day		1	0
qello	03/01/2018	8080 Test Library	test51				test.18patron@gmail.com		30-day		1	0
qello	03/01/2018	8080 Test Library	test51				test.19patron@gmail.com		unlimited		1	0
qello	03/01/2018	8080 Test Library	test51				test.21patron@gmail.com		7-day		1	0
qello	03/01/2018	8080 Test Library	test51				test.22patron@gmail.com		unlimited		1	0
qello	03/02/2018	8080 Test Library	test51				test.15patron@gmail.com		7-day		1	0
qello	03/02/2018	8080 Test Library	test51				test.16patron@gmail.com		7-day		1	0
qello	03/02/2018	8080 Test Library	test51				test.20patron@gmail.com		7-day		1	0
qello	03/02/2018	8080 Test Library	test51				test.23patron@gmail.com		7-day		1	0
qello	03/02/2018	8080 Test Library	test51				test.24patron@gmail.com		7-day		1	0
qello	03/06/2018	8080 Test Library	test51				test06.patron@test.com		7-day		1	0
qello	03/13/2018	8080 Test Library	test51				jan8@email.com		7-day		1	1
qello	03/16/2018	8080 Test Library	test51				slacker1126@xymail.com		7-day		1	0
qello	03/16/2018	8080 Test Library	test51				slacker1127WAS@email.com		7-day		1	0
qello	03/16/2018	8080 Test Library	test51				slacker1129@xymail.com		7-day		1	0
qello	03/16/2018	8080 Test Library	test51				worker1128WAS@email.com		7-day		1	0
qello	03/17/2018	8080 Test Library	test51				slacker1123@xymail.com		7-day		1	0
qello	03/17/2018	8080 Test Library	test51				slacker1125WAS@email.com		7-day		1	0
qello	03/17/2018	8080 Test Library	test51				slacker1130WAS@email.com		7-day		1	0
qello	03/18/2018	8080 Test Library	test51				slacker1124@xymail.com		7-day		1	0
qello	03/18/2018	8080 Test Library	test51				slacker1126WAS@email.com		7-day		1	0
qello	03/26/2018	8080 Test Library	test51				slacker1122WAS@email.com		7-day		1	0
qello	03/26/2018	8080 Test Library	test51				slacker1130WAS@email.com		7-day		1	0
qello	03/26/2018	8080 Test Library	test51				worker1124@xymail.com		7-day		1	0
qello	03/26/2018	8080 Test Library	test51				worker1126@xymail.com		7-day		1	0
qello	03/26/2018	8080 Test Library	test51				worker1126WAS@email.com		7-day		1	0
qello	03/26/2018	8080 Test Library	test51				worker1128WAS@email.com		7-day		1	0
qello	03/26/2018	8080 Test Library	test51				worker1129@xymail.com		7-day		1	0
qello	03/26/2018	8080 Test Library	test51				worker1130@xymail.com		7-day		1	0
qello	03/29/2018	8080 Test Library	test51				dataneupane@gmail.com		7-day		1	0
qello	03/29/2018	8080 Test Library	test51				slacker1130@xymail.com		7-day		1	0
qello	03/29/2018	8080 Test Library	test51				worker1130WAS@email.com		7-day		1	1
qello	04/03/2018	8080 Test Library	test51				sunnyinfo2@gmail.com		7-day		1	0
qello	04/20/2018	8080 Test Library	test51				slacker1129WAS@email.com		7-day		1	0
qello	05/07/2018	8080 Test Library	test51			qwerty	avolkov@envionsoftware.com		7-day		1	0
qello	05/22/2018	8080 Test Library	test51			0211gdpr01	gdpr01@email.com		7-day		1	0
qello	06/04/2018	8080 Test Library	test51				worker1124WAS@email.com		7-day		1	0
qello	06/11/2018	8080 Test Library	test51				dataneupane@gmail.com		7-day		1	0
qello	06/26/2018	8080 Test Library	test51				ymelnik@envionsoftware.com		7-day		1	0
Total	92	2
