For Period: from 02/02/2017 to 02/02/2017
Active and Inactive Subscriptions counted
Region	State	Library	AccountId	SalesRep	Subscription Start Date	Subscription End Date	Subscription Status	System Name
Asia	Indonesia	British School Jakarta		ballan1	08/15/2016	08/31/2017	Inactive	
Europe, UK	England	Bromley Libraries			06/17/2015	06/30/2018	Inactive	
North America	Wisconsin	Brookfield Public Library	1720521	mhaddadnull	01/01/2017	12/31/2017	Inactive	
North America	Illinois	Brookfield Public Library		mhaddadnull	04/01/2016	03/31/2017	Inactive	
North America	Maryland	Brooks Test Library			09/01/2015	08/31/2017	Inactive	
North America	Florida	Broward County Library System		Doss	01/01/2017	12/31/2017	Inactive	
North America	Wisconsin	Brown County Library	7031914	mhaddadnull	01/01/2017	12/31/2017	Inactive	
North America	Indiana	Brownsburg Public Library	7052471	dmcdonald1	03/01/2016	02/28/2017	Inactive	
North America	Texas	Brownsville Public Library System		cstrickland	02/01/2017	01/31/2018	Inactive	
North America	New York	Bryant Library		swilliams1	12/15/2016	12/31/2017	Inactive	Nassau
Europe, UK	England	Buckinghamshire Libraries	10000024		12/01/2014	11/30/2018	Inactive	
North America	Pennsylvania	Bucks County Free Library	7044955	Doss	10/01/2016	09/30/2017	Inactive	
North America	California	Buena Park Library		mransdell	10/01/2016	09/30/2017	Inactive	Santiago Group
North America	North Carolina	Buncombe County Public Libraries	7026513	swilliams1	01/01/2017	12/31/2017	Inactive	
Australia	Queensland	Bundaberg Regional Libraries			12/01/2014	11/30/2019	Active	
North America	Ontario	Burlington Public Library	7077803	rseifert	01/01/2017	12/31/2017	Inactive	
North America	British Columbia	Burnaby Public Library	7040651	Messersmith	01/01/2017	12/31/2017	Inactive	BC Libraries Cooperative 7040759
North America	Texas	Burnet County		cstrickland	10/01/2016	09/30/2017	Inactive	Acorn, Indieflix
North America	British Columbia	Burns Lake Public Library	7149969	Messersmith	01/01/2017	12/31/2017	Inactive	BC Libraries Cooperative-7040759
North America	Pennsylvania	Butler County Federated Library System	7026550	lkurucz	12/01/2016	11/30/2017	Inactive	
North America	North Carolina	Cabarrus County Public Library		swilliams1	01/01/2017	12/31/2017	Inactive	
Australia	Queensland	Cairns Libraries			07/18/2014	07/31/2019	Active	
North America	California	Calabasas Public Library	1731318	mransdell	02/01/2017	01/31/2018	Inactive	
North America	Louisiana	Calcasieu Parish Public Library		cstrickland	12/01/2016	11/30/2017	Inactive	
North America	Ontario	Caledon Public Library	7103313	rseifert	01/01/2017	12/31/2017	Inactive	
North America	Alberta	Calgary Public Library	7080637	Messersmith	11/01/2016	10/31/2017	Inactive	Alberta Municipal Affairs 7104420
New Zealand	New Zealand	Callaghan Innovation			03/18/2016	03/31/2018	Inactive	
North America	California	Camarillo Public Library	1746164	mransdell	03/01/2016	02/28/2017	Inactive	
Europe, UK	England	Cambridgeshire County Libraries	10000029		01/01/2015	12/31/2018	Inactive	
Australia	New South Wales	Camden Council Library Service	10000030		10/01/2014	09/30/2019	Active	
North America	New Jersey	Camden County Library	7077797	lkurucz	02/01/2017	01/31/2018	Inactive	
North America	Missouri	Camden County Library District	7050415	swilks	04/01/2016	03/31/2017	Inactive	
North America	Louisiana	Cameron Parish Library		cstrickland	01/01/2017	12/31/2017	Inactive	
Australia	Victoria	Campaspe Regional Library	10000280		07/01/2015	06/30/2020	Active	
North America	Virginia	Campbell County Public Library		swilliams1	05/01/2016	09/30/2017	Inactive	Library of Virginia/Lyrasis-7051842
North America	Kentucky	Campbell County Public Library	7052053	dmcdonald1	02/28/2013	02/28/2017	Inactive	
Australia	New South Wales	Campbelltown City Library Service			04/15/2016	04/30/2020	Active	
North America	Ontario	Canada 50 Shared Magazine Collection Ontario			05/01/2016	04/30/2017	Inactive	
North America	Ontario	Canada Pension Plan Investment Board		rseifert	02/01/2017	01/31/2018	Inactive	
Asia	China	Canadian International School of Beijing		ballan1	08/16/2016	08/31/2017	Inactive	
Australia	New South Wales	Canterbury Bankstown Library			11/01/2014	07/31/2017	Inactive	
North America	Texas	Canyon Area Library		cstrickland	04/01/2016	03/31/2017	Inactive	Value Collection
North America	Missouri	Cape Girardeau Public Library		swilks	07/01/2016	06/30/2017	Inactive	
North America	New Jersey	Cape May County Library		lkurucz	07/01/2016	06/30/2017	Inactive	
North America	Michigan	Capital Area District Libraries		hyena	07/01/2016	06/30/2017	Inactive	
North America	British Columbia	Cariboo Regional District Library	7149957	Messersmith	01/01/2017	12/31/2017	Inactive	BC Libraries Cooperative-7040759
North America	New Mexico	Carlsbad Public Library	1737146	cstrickland	03/01/2016	02/28/2017	Inactive	Value Collection
North America	Indiana	Carmel Clay Public Library		dmcdonald1	02/01/2017	01/31/2018	Inactive	
North America	Pennsylvania	Carnegie Library of Pittsburgh	1726020	lkurucz	12/01/2016	11/30/2017	Inactive	
North America	Iowa	Carnegie-Stout PL & James Kennedy PL	7051806	PaulGillespie	04/01/2016	03/31/2017	Inactive	
North America	Illinois	Carol Stream Public Library	1722632	mhaddadnull	03/01/2016	02/28/2017	Inactive	
North America	Maryland	Carroll County Library		swilliams1	10/01/2016	09/30/2017	Inactive	
North America	Texas	Carrollton Public Library		cstrickland	04/01/2016	03/31/2017	Inactive	
North America	Minnesota	Carver County Library	1726983	PaulGillespie	02/01/2017	01/31/2018	Inactive	MELSA
Australia	Victoria	Casey-Cardinia Library Corporation			07/01/2015	06/30/2020	Active	
North America	British Columbia	Castlegar & District Public Library	7040650	Messersmith	01/01/2017	12/31/2017	Inactive	BC Libraries Cooperative 7040759
Australia	Victoria	Caulfield Grammar School			11/17/2014	11/30/2019	Active	
North America	Maryland	Cecil County Public Library	1733782	swilliams1	07/01/2016	06/30/2017	Inactive	
North America	Iowa	Cedar Falls Public Library and Waverly Public Library		PaulGillespie	07/01/2016	06/30/2017	Inactive	
Australia	New South Wales	Central Coast Library Service			10/01/2014	09/30/2019	Active	
Australia	Victoria	Central Highlands Libraries			08/20/2013	08/31/2019	Active	
North America	Iowa	Central Iowa MagNet Zinio Consortium	7052793	PaulGillespie	10/01/2016	09/30/2017	Inactive	
North America	Nebraska	Central Nebraska Consortium	7052525	cpitcher	02/01/2017	01/31/2018	Inactive	
Australia	New South Wales	Central Northern Regional Library	10000288		11/01/2014	10/31/2019	Active	
North America	Virginia	Central Rappahannock Regional Library	1726742	Doss	10/01/2016	09/30/2017	Inactive	Library of Virginia/Lyrasis-7051842
Australia	New South Wales	Central West Libraries	10000289		04/01/2015	07/31/2018	Inactive	
Australia	New South Wales	Cessnock Library			07/18/2014	08/31/2017	Inactive	
North America	Texas	Chambers County Library System		cstrickland	01/01/2017	12/31/2017	Inactive	
North America	Ohio	Champaign County Public Library		dmcdonald1	02/01/2017	01/31/2018	Inactive	
North America	Illinois	Champaign Public Library		mhaddadnull	12/01/2016	11/30/2017	Inactive	
North America	Arizona	Chandler Public Library		mransdell	01/01/2017	12/31/2017	Inactive	
North America	South Carolina	Chapin Memorial Library	1721788	swilliams1	04/01/2016	03/31/2017	Inactive	
North America	South Carolina	Charleston County Public Library	7026578	swilliams1	05/01/2016	04/30/2017	Inactive	SVOD - Acorn, Indieflix
North America	Indiana	Charlestown Clark Public Library	1722670	dmcdonald1	04/01/2016	03/31/2017	Inactive	
North America	Florida	Charlotte County Library		bgilbert	08/01/2016	07/31/2017	Inactive	
North America	North Carolina	Charlotte Mecklenburg Library		swilliams1	08/01/2016	07/31/2017	Inactive	
North America	North Carolina	Chatham County Library	7026545	swilliams1	08/01/2016	07/31/2017	Inactive	
North America	Ontario	Chatham-Kent Public Library	7092869	rseifert	01/01/2017	12/31/2017	Inactive	
North America	Georgia	Chattahoochee Valley Libraries	7040480	Doss	10/01/2016	09/30/2017	Inactive	
North America	Tennessee	Chattanooga Public Library	1718837	bgilbert	10/01/2016	09/30/2017	Inactive	
North America	New York	Chautauqua-Cattaraugus Library System		rseifert	08/01/2016	07/31/2017	Inactive	
North America	Massachusetts	Chelmsford Public Library		jlevy	08/01/2016	07/31/2017	Inactive	SVOD - All
North America	New Jersey	Cherry Hill Public Library	7082480	lkurucz	12/01/2016	11/30/2017	Inactive	
North America	Virginia	Chesapeake Public Library	7052258	Doss	10/01/2016	09/30/2017	Inactive	Library of Virginia/Lyrasis-7051842
North America	Connecticut	Cheshire Public Library	7060053	jlevy	05/01/2016	04/30/2017	Inactive	
North America	Georgia	Chestatee Regional Library		bgilbert	10/01/2016	09/30/2017	Inactive	GADD
North America	Virginia	Chesterfield County Public Library	7052080	Doss	10/01/2016	09/30/2017	Inactive	Library of Virginia/Lyrasis-7051842
North America	British Columbia	Chetwynd Public Library	7040649	Messersmith	01/01/2017	12/31/2017	Inactive	BC Libraries Cooperative 7040759
North America	Illinois	Chicago Public Library	7076433	Doss	11/01/2016	10/31/2017	Inactive	
North America	Massachusetts	Chicopee Public Library	7059766	jlevy	03/01/2016	02/28/2017	Inactive	
North America	Alberta	Chinook Arch Regional Library System	7080641	Messersmith	11/01/2016	10/31/2017	Inactive	
New Zealand	Christchurch	Christchurch City Libraries			12/01/2014	11/30/2018	Inactive	
North America	Manitoba	Churchill Public Library		Messersmith	01/01/2017	06/30/2017	Inactive	Manitoba Rural Library Consortia
Europe, UK	England	City of London			12/17/2015	12/31/2018	Inactive	
Australia	Northern Territory	City of Palmerston Library			03/01/2015	04/30/2017	Inactive	
Australia	Victoria	City of Port Phillip	10000376		02/01/2015	01/31/2020	Active	
Australia	New South Wales	City of Ryde			10/01/2014	09/30/2019	Active	
Australia	New South Wales	City of Sydney Library			09/17/2014	09/30/2019	Active	
Australia	New South Wales	Clarence Regional Library	10000291		01/01/2015	12/31/2019	Active	
North America	Illinois	Clarendon Hills Public Library		mhaddadnull	01/01/2017	12/31/2017	Inactive	
North America	Ontario	Clarington Public Library	7052599	rseifert	01/01/2017	12/31/2017	Inactive	
North America	Ohio	Clark County Public Library		dmcdonald1	07/01/2016	06/30/2017	Inactive	
North America	Kentucky	Clark County Public Library		dmcdonald1	07/01/2013	06/30/2017	Inactive	
North America	New Jersey	Clark Public Library		lkurucz	02/01/2017	01/31/2018	Inactive	
North America	West Virginia	Clarksburg Harrison Public Library		dmcdonald1	07/01/2016	06/30/2017	Inactive	WV Deli-7120407
North America	Georgia	Clayton County Library System		bgilbert	08/01/2016	07/31/2017	Inactive	GADD
North America	Ohio	Clermont County Public Library		dmcdonald1	04/01/2016	03/31/2017	Inactive	
North America	Tennessee	Cleveland Bradley County Public Library	7099848	bgilbert	10/01/2016	09/30/2017	Inactive	
North America	Ohio	Cleveland Heights-University Heights Public Library		dmcdonald1	11/22/2016	11/30/2017	Inactive	
North America	New York	Clifton Park-Halfmoon Public Library	7099010	jlevy	03/01/2016	02/28/2017	Inactive	
North America	Georgia	Cobb County Public Library System	1718530	Doss	04/01/2016	03/31/2017	Inactive	
Australia	New South Wales	Coffs Harbour City Library			05/18/2015	05/31/2020	Active	
North America	Florida	Collier County Public Library	7081658	bgilbert	11/01/2016	10/31/2017	Inactive	
North America	Tennessee	Collierville Burch Public Library	7040084	bgilbert	10/01/2016	09/30/2017	Inactive	
North America	Virginia	Colonial Heights Public Library	7052494	swilliams1	10/01/2016	09/30/2017	Inactive	Library of Virginia/Lyrasis-7051842
North America	California	Colton Public Library		mransdell	10/01/2016	09/30/2017	Inactive	Inland Library System
North America	Ohio	Columbiana Public Library		dmcdonald1	10/01/2016	09/30/2017	Inactive	
North America	Ohio	Columbus Academy		dmcdonald1	07/01/2016	06/30/2017	Inactive	
North America	California	Commerce Public Library		mransdell	01/01/2017	12/31/2017	Inactive	
North America	Ohio	Community Library		dmcdonald1	04/01/2016	03/31/2017	Inactive	
North America	Massachusetts	Concord Free Public Library		jlevy	08/01/2016	07/31/2017	Inactive	
North America	Illinois	Cook Memorial Public Library District		mhaddadnull	11/01/2016	10/31/2017	Inactive	
North America	British Columbia	Coquitlam Public Library	7040648	Messersmith	01/01/2017	12/31/2017	Inactive	BC Libraries Cooperative 7040759
North America	Connecticut	Cora J. Belden Library	7051821	jlevy	01/01/2017	12/31/2017	Inactive	SVOD--Qello and TGCNC only; unlimited.
Australia	Victoria	Corangamite Regional Library Corporation			04/01/2015	03/31/2020	Active	
Europe, UK	England	Cornwall Libraries	10000042		05/01/2015	04/30/2018	Inactive	
North America	California	Corona Public Library		mransdell	10/01/2016	09/30/2017	Inactive	Inland Library System
